Judul,Narasi,Indikator
 Pemeriksaan Air Liur Di Bandara Changi,Beredar sebuah pesan berantai perihal himbauan untuk warga Indonesia terkait dengan adanya peraturaan pemeriksaan baru di Bandara Changi Singapura. Dalam narasi disebutkan bahwa Pemerintah Singapura ,0
 Info Terkini : kudus sudah ada 2 org pasien Virus corona,Direktur RSUD Loekmonohadi Kudus dr Abdul Aziz Achyar menyatakan berdasar hasil uji laboratoris Balitbangkes Kemenkes RI menyatakan bahwa pasien itu negatif Corona sehingga diperbolehkan pulang. ,0
 Bentuk virus corona setelah diperbesar 2600x,Bukan bentuk virus corona. Foto di video itu sebenarnya menunjukkan tampilan kumbang kecil yang berasal dari keluarga besar Curculionoidea. Selengkapnya di bagian PENJELASAN dan REFERENSI===Kategori ,0
 Corona mengganas sudah 25 pasien di Bali wafat,"BUKAN 25 pasien, judul artikel yang dibagikan: Kasus 25. Pasien URUTAN ke 25, BUKAN pasien SEBANYAK 25. Selengkapnya di bagian PENJELASAN dan REFERENSI.  KATEGORI ",0
 Area Kantor Nokia di Menara Mulia Dibersihkan Setelah Ada Karyawan Meninggal,"Karyawan Nokia yang meninggal bukan karena virus Corona atau COVID-19. Adapun, kegiatan disinfeksi yang dilakukan Nokia Indonesia di kantornya merupakan pengaplikasian kebijakan Nokia Global mengingat ",0
 Daniel Radcliffe Positiv Terinfeksi Corona Covid-19,"Beredar rumor yang menyebutkan bahwa pemeran film Harry Potter, Daniel Radcliffe positiv mengidap virus corona seperti yang cuitkan oleh akun twitter BBCNewsTonight. rumor tersebut akhirnya ",0
 Foto  Mahfud MD Mengaku Mirip Ashraf Ingin Nikahi BCL,Foto hasil suntingan / editan. Kolase itu semula bukan foto Mahfud MD. Namun seorang pria lain yang ramai dibicarakan di media sosial. Selengkapnya di bagian ,0
 Setelah tahu orang-orang Uyghur tidak tertular corona orang-orang di china berebut mendapatkan Alquran,"Video lama, TIDAK berkaitan dengan COVID-19. Yang diperebutkan adalah Alkitab, BUKAN Al-Quran. Selengkapnya di bagian PENJELASAN dan REFERENSI.  KATEGORI Konten yang Salah.  SUMBER ",0
 Said Aqil Disebut Jadi Humas Pemerintah China,Artikel berjudul Said Aqil: Akhlak China Itu Lebih Baik Ketimbang Arab!! yang ditayangkan oleh OPERAINFF.BLOGSPOT.COM dengan ditambahkan tulisan Jadi Humas Pemerintah China oleh akun Facebook ,0
" Penculikan anak remaja, diambil organnya & mayatnya setelah dijahit dibuang kekali depan Season City","Bukan korban penculikan. Menurut dugaan Kanit Reskrim Polsek Tambora AKP Suparmin, (korban) mau buang air di kali, terpeleset jatuh dan menurut pemeriksaannya, tidak ditemukan adanya ",0
" Negara Sudah Bangkrut, KK dan Akte Dicetak di Kertas HVS","Perubahan kertas yang digunakan untuk mencetak KK dan Akte diatur dalam Permendagri Nomor 109 Tahun 2019. Perubahan ini pun dikatakan Dirjen Dukcapil Kemendagri, Zudan Arif ",0
 Video Angin Puting Beliung Menerjang Sukabumi,Postingan video angin putting beliung yang diunggah pada 3 Maret 2020 bukanlah peristiwa saat ini. Video tersebut merupakan video lama pada 11 Januari 2019 mengenai ,0
 kematian raja Salman dan putra mahkota pangeran Mohamed bin Salman di tangkap atas tuduhan kudeta,"Raja Salman masih dalam keadaan sehat dan tetap beraktivitas seperti biasa. Anggota Kerajaan Arab Saudi yang ditangkap atas tuduhan kudeta adalah saudara Raja Salman, Pangeran ",0
 Narasi Pesan Himbauan Pencegahan Virus Corona Mengatasnamakan UNICEF,Sebuah akun Facebook membagikan informasi berupa himbauan terkait dengan pencegahan virus corona dengan klaim berasal dari Unicef. Himbauan tersebut telah mendapat banyak respon dari para ,0
 Imigran Asal China Yang Ada di Jakarta Dipulangkan Oleh Anies Baswedan ke Negara Asalnya,"Pelintiran lama diedarkan kembali, berkaitan dengan Tiongkok dan COVID-19. Video Razia WNA yang dilakukan di Apartemen Mediterania oleh pihak Imigrasi Jakarta Barat terjadi pada Kamis ",0
 Selamat datang TKA China sebarkan virus corona #TergagapCorona,"Selain TKA sudah dipastikan negatif COVID-19, artikel yang dibagikan menggunakan foto peristiwa tahun 2019 yang TIDAK berkaitan dengan isi. Selengkapnya di bagian PENJELASAN dan REFERENSI. ",0
 Anis sedang nyimak mendengarkan Keluhan Warganya yg Terdampak Utang,Tampilan layar yang diunggah akun Facebook Ali Yatim Morella atau aliyatim.morella yang di dalamnya terdapat foto Anies dan Jokowi adalah kegiatan meninjau kesiapan Wisma Atlet ,0
" SUKU DAYAK DUKUNG AHOK FULL UNTUK CEO IKN, SUKU LAIN GMN??",Foto yang digunakan pada sumber bukan foto bukti dukungan Suku Dayak kepada Basuki Tjahaja Purnama atau Ahok untuk menjadi Kepala Badan Otoritas Ibu Kota Negara ,0
" Foto Anak Durhaka berubah menjadi Buaya di Gunung Picung, Kecamatan Tenjolaya, Kabupaten Bogor",BUKAN anak durhaka dan BUKAN di Kabupaten Bogor. Makhluk tersebut lahir dari kerbau milik seorang petani wanita di Thailand yang lahir akibat faktor kombinasi spesies ,0
 Pangeran Uni Emirat Arab Dikabarkan Positif Virus Corona,"Tidak ditemukan informasi bahwa Pangeran Mohamed bin Zayed positif terinfeksi virus Corona Covid-19 sejak 4 Maret 2020. Sebaliknya, sejak Februari hingga 8 Maret kemarin, Pangeran ",0
 Lowongan Kerja Bagi Lulusan SMA/SMK di Satpol PP Surabaya,"Hasil Periksa Fakta Novita Kusuma Wardhani (Institut Ilmu Sosial dan Ilmu Politik (IISIP) Jakarta). Informasi tersebut salah. Faktanya, melalui akun Instagram resminya, yaitu satpolppsurabaya. Pihak […]",0
 “Bonus Rp 12 Miliar buat team “Garuda” dikejuaraan AFF 2020?,"BUKAN video tentang AFF 2020. FAKTANYA, video yang dibagikan sudah beredar sebelumnya pada tahun 2016 lalu, berkaitan dengan bonus pada AFF tahun 2016. Selengkapnya di […]",0
" “Berita Duka, SeIamat JaIan Untuk SeIamanya Inul Daratista”","Klaim di artikel itu tidak benar. Selain Inul Daratista belum meninggal, foto di artikel itu adalah foto kecelakaan pada tahun 2018 yang tidak ada kaitannya […]",0
 Tes Warna Sepatu untuk Menentukan Sisi Otak yang Dominan,"Hasil Periksa Fakta Khairunnisa Andini. Faktanya, tidak ada bukti ilmiah yang menyatakan bahwa perbedaan warna sepatu yang dilihat oleh beberapa orang dapat menentukan sisi otak […]",0
 Gambar Anies membaca buku “101 cara ngeles”,"Hasil Periksa Fakta Luthfiyah OJ (UIN Raden Mas Said Surakarta). Gambar tersebut telah disunting pada bagian cover buku. Faktanya, cover yang asli bertuliskan “HOW DEMOCRACIES […]",0
 Video “ada apa negara kita sekarang ini”,"Menambahkan narasi di potongan video untuk memelintir konteks sehingga membangun kesimpulan KELIRU. FAKTANYA, yang dibagikan adalah video acara Perayaan Natal Nasional pada tahun 2019 lalu, […]",0
 Pemesanan Online Vaksin Covid-19 Sinopharm Melalui E-Commerce,Informasi menyesatkan. Kementerian Kesehatan Republik Indonesia mengatakan bahwa informasi terkait cara untuk mendapatkan vaksin Sinopharm di salah satu toko online melalui reservasi dengan deposit Rp10 […],0
 Video “Timur Leste Kembali Ke Indonesia”,"BUKAN ingin bergabung kembali dengan Indonesia. Ratusan anak muda asal Timor Leste dalam video itu datang ke Atambua, NTT, untuk belajar pencak silat. Mereka dipulangkan […]",0
 Nikita Mirzani Minta Masyarakat Berhenti Sebut HRS Sebagai Habib. Dia Itu Hanyalah Seorang Tukang Obat Saja Jangan Mau Dibodohi Bro,"Judul artikel yang dimanipulasi. melansir dari okezone.com, pada artikel aslinya yang tayang pada Rabu 18 November 2020 adalah berjudul “Nikita Mirzani Minta Masyarakat Berhenti Sebut HRS […]",0
 Video “Kebiadaban Myanmar terhadap ummat Islam tidak bisa dimaafkan”,"BUKAN di Myanmar. Video tersebut adalah bagian dari proses pelatihan perekrutan unit komando pasukan elit Malaysia, Grup Gerak Khas (GGK). Selengkapnya di bagian PENJELASAN dan […]",0
 Foto Rudal Balistik Buatan Indonesia Diangkut truk,Bukan membawa rudal balistik. Truk dalam video tersebut merupakan truk pengangkut tiang pancang atau paku bumi untuk proyek jalan tol Pemalang-Batang pada 2017.  [KATEGORI]: […],0
" “Mata Uang Baru Yang Dikeluarkan BI, Koin Seratus Ribu Rupiah”","Bank Indonesia memastikan tidak pernah mengeluarkan uang seratus ribu rupiah dalam pecahan koin pada tahun 2021. Direktur Komunikasi Bank Indonesia, Junanto Herdiawan menegaskan bahwa informasi […]",0
 Peringatan Gempa Bumi Berkekuatan 8-9 SR pada 1 hingga 3 Januari 2022 karena Persilangan Posisi Planet,"Hasil Periksa Fakta Khairunnisa Andini. Faktanya, persilangan posisi planet tidak berpengaruh terhadap gelombang seismik di bumi. Narasi ini sendiri sudah lama beredar sejak tahun 2018 […]",0
 Foto Minuman dari Kotoran Domba dan Kambing di China,"Hasil Periksa Fakta Renanda Dwina Putri (Anggota Komisariat MAFINDO Universitas Pendidikan Indonesia) Faktanya, minuman dalam unggahan itu adalah pearl milk tea yang dijual di Vietnam […]",0
 Wanita Bercadar Masuk ke Teras Gereja dan Menaruh Sebuah Tas di Pot Bunga,"Hasil Periksa Fakta Novita Kusuma Wardhani (Institut Ilmu Sosial dan Ilmu Politik (IISIP) Jakarta). Informasi tersebut salah. Faktanya, Humas Polda Kalimantan Tengah menyatakan bahwa informasi […]",0
 Foto Rumah Abad Pertengahan di Perancis yang Dibangun Tahun 1509,"Hasil Periksa Fakta Renanda Dwina Putri (Anggota Komisariat MAFINDO Universitas Pendidikan Indonesia) Faktanya, rumah tersebut dibangun tahun 1955 bukan tahun 1509. Rumah di Argentan, Perancis […]",0
 Foto Patung Buddha Bamiyan di Awal 1900-an,Hasil Periksa Fakta Renanda Dwina Putri (Anggota Komisariat MAFINDO Universitas Pendidikan Indonesia) Bukan diambil tahun 1900-an. Foto patung Buddha itu diambil tahun 1953 oleh fotografer […],0
 Poster Acara Perayaan Tahun Baru 2022 Rembang Expo,"Poster palsu. Kepala Dinas Perindustrian, Perdagangan , Koperasi dan UKM (Dinperindagkop) , Mohammad Mahfudz juga mengkonfirmasi bahwa flyer tersebut berisi informasi bohong. Masyarakat diminta bijak […]",0
 Kutipan Gus Mus kepada Warga Keturunan Arab tentang Berislam,"Hasil Periksa Fakta Renanda Dwina Putri (Anggota Komisariat MAFINDO Universitas Pendidikan Indonesia) Faktanya, kutipan tersebut adalah hoaks lama yang kembali beredar dan pernah diklarifikasi oleh […]",0
 Kuburan kendaraan di Jepang,hasil periksa fakta Rahmah a n (UIN Sunan Ampel Surabaya) BUKAN DI JEPANG. Kedua foto tersebut berlokasi di Amerika Serikat yaitu New Meksiko dan California. […],0
 Gambar Tangkapan Layar Artikel Kompas.com “warga DKI bingung dengan hasil kinerja Anies Baswedan yang selalu dapat penghargaan”,"Hasil Periksa Fakta Luthfiyah OJ (UIN Raden Mas Said Surakarta). Gambar tersebut telah disunting pada bagian judul artikel. Faktanya, judul artikel Kompas.com yang asli adalah […]",0
 Video Fisikawan Bermain Bola Voli Menggunakan Drone,"Hasil Periksa Fakta Fathia IS. Video yang diklaim memperlihatkan dua drone bermain bola voli yang dikendalikan oleh fisikawan tersebut salah. Faktanya, video tersebut merupakan hasil […]",0
 Link Mengecek Bantuan Rp500.000 bagi yang Mempunyai E-KTP,"Hasil Periksa Fakta Luthfiyah OJ (UIN Raden Mas Said Surakarta). Link tersebut tidak benar. Faktanya, hal tersebut merupakan hoaks lama yang dimodifikasi lalu disebarkan kembali. […]",0
 Imbauan Untuk Isi Bensin Penuh Tangki Karena Tanggal 27 Desember 2021 Hingga 7 Januari 2022 Karyawan Pertamina Mogok Kerja Massal,"Pesan yang menyesatkan. Fajriyah Usman, Vice President Corporate Communication Pertamina mengungkapkan bahwa berita tersebut adalah hoax. Ia meminta masyarakat tetap tenang menggunakan BBM sesuai kebutuhan […]",0
 Foto “anak raja Salman yang bernama Putri sarah”,"BUKAN Putri Sarah. Wanita di foto itu adalah Angelina Jolie. Selain itu, Putri Sarah bukanlah anak dari Raja Salman melainkan anak dari Pangeran Talal bin […]",0
 Pasien Korban Erupsi Semeru di RSUD dr. Haryoto Diharuskan Membeli Underpad Sendiri,"Hasil Periksa Fakta Novita Kusuma Wardhani (Institut Ilmu Sosial dan Ilmu Politik (IISIP) Jakarta). Informasi tersebut salah. Faktanya, pihak RSUD dr. Haryoto melalui akun Instagram […]",0
 Foto Para Anggota GP Ansor Beribadah di Gereja,"Hasil Periksa Fakta Renanda Dwina Putri (Anggota Komisariat MAFINDO Universitas Pendidikan Indonesia) Faktanya, foto tersebut adalah hasil penyuntingan dari foto kegiatan Majelis Dzikir dan Sholawat […]",0
 Akun Facebook Bupati Kapuas Hulu Fransiskus Diaan Meminta Uang dan Pulsa,hasil periksa fakta Rahmah a n (UIN Sunan Ampel Surabaya). Faktanya melalui akun Instagram resmi setda Kapuas Hulu Fransiskus mengklarifikasi bahwa akun tersebut merupakan akun […],0
 Video “Balita ini selamat Wlo sdh berhari hari tertimbun abu vulkanik semeru”,"BUKAN korban erupsi Gunung Semeru tahun 2021. Balita berlumur lumpur itu terseret likuefaksi pascagempa di Palu, tepatnya di Jono Oge, Desa Langaleso pada tahun 2018. […]",0
 Foto Jalan Raya di China Macet Total,"Hasil Periksa Fakta Renanda Dwina Putri (Anggota Komisariat MAFINDO Universitas Pendidikan Indonesia) Faktanya, foto tersebut adalah hasil proses penyuntingan dari foto jalan raya 405 Los […]",0
 Foto Jokowi saat Kelulusan,"Hasil Periksa Fakta Luthfiyah OJ (UIN Raden Mas Said Surakarta). Foto tersebut telah disunting pada bagian wajah. Faktanya, foto yang asli merupakan foto saat acara […]",0
 Surat Pengangkatan Tenaga Honorer menjadi ASN Tanpa Tes oleh Kemendikbud,Hasil Periksa Fakta Luthfiyah OJ (UIN Raden Mas Said Surakarta). Hal tersebut tidak benar. Faktanya pihak BKN dan Kemendikbud Ristek tidak pernah mengeluarkan informasi maupun […],0
 Vaksin mRNA pada Pfizer dan Moderna Berbahaya Bagi Anak-Anak,"Hasil Periksa Fakta Fathia IS. Klaim tersebut salah. Faktanya, sejumlah ahli melalui AFP mengonfirmasi bahwa pernyataan tersebut tidak akurat dan tidak ada bukti yang mendasar. […]",0
" Victor Lindelof Gagal Jantung setelah Vaksinasi Covid-19, kemudian Jantungnya Dipasangi Chip","Hasil Periksa Fakta Ani Nur MR. Informasi Palsu. Pihak Manchester United membantah bahwa sesak napas yang dialami Victor Lindelof karena terpapar Covid-19, pun juga tidak […]",0
" Foto Seorang Akademisi Asal Indonesia Berusia 105 Tahun, Moerhadi, Berbagi Rahasia Kemenanganya atasi Diabetes","Hasil Periksa Fakta Fathia IS. Foto EDITAN. Berdasarkan penelusuran menggunakan Yandex foto tersebut menggunakan baju dan latar yang sama dengan foto seorang ilmuwan Rusia, Viktor […]",0
 Dua Mumi Alien Ditemukan di Mesir,Hasil Periksa Fakta Ani Nur MR. Bukan Mumi Alien. Kedua mumi tersebut adalah janin manusia berjenis kelamin perempuan pada usia kehamilan lima dan tujuh bulan. […],0
 Burung Elang Ikan Menangkap Ikan Hiu dari Laut,"Hasil Periksa Fathia IS. Video yang diklaim memperlihatkan burung elang menerkam ikan hiu tersebut salah. Faktanya, ikan yang ditangkap tersebut bukanlah ikan hiu, melainkan ikan […]",0
 Buku Berjudul “Understanding Omicron Variant” oleh Dr Theresa Bishop Terbit Tahun 2020 Sebelum Varian Omicron Ditemukan di Dunia,"Hasil Periksa Fakta Ani Nur MR. Bukan 2020, melainkan 2021. Melalui situs toko buku online di Amazon, buku berjudul “UNDERSTANDING OMICRON VARIANT: All You Need […]",0
 Hadiah Ulang Tahun ke-50 Tahun Kimia Farma Senilai Rp2 Juta,"hasil periksa fakta Rahmah a n (UIN sunan Ampel Surabaya). Informasi tersebut salah. Faktanya, melalui akun Twitter resminya, pihak Kimia Farma mengimbau kepada masyarakat untuk […]",0
 Akun Facebook Sekretaris Daerah Kota Bengkulu Arif Gunardi Meminta Dibayari Tiket Pesawat,"hasil periksa fakta Rahmah a n (UIN Sunan Ampel Surabaya). Akun palsu. Faktanya, Eko Agusrianto Plt Asisten I Kota Bengkulu mengimbau kepada masyarakat agar tidak […]",0
 Link Mendaftarkan Bantuan Covid-19 Bagi yang Mempunyai E-KTP,Hasil Periksa Fakta Luthfiyah OJ (UIN Raden Mas Said Surakarta). Kepala Biro Humas Kementrian Sosial (Kemensos) Hasim mengatakan hal tersebut tidak benar dan informasi mengenai […],0
 Foto Anak Irak Tidur di Atas Gambar Sosok Ibunya,Foto bukan sosok anak Irak yang tidur di atas gambar sosok ibunya. Foto tersebut merupakan karya milik Bahareh Bisheh yang mengambil gambar sepupunya ketika tertidur […],0
 Poster Waspada Penculikan Anak Berumur 1-12 Tahun Mengatasnamakan Polresta Sidoarjo,Hoaks lama berulang. Pihak Polrestabes Sidoarjo melalui akun resmi instagramnya mengklarifikasi bahwa poster tersebut adalah hoaks.  [KATEGORI]: KONTEN PALSU  [SUMBER]: https://archive.fo/rUrKy  [NARASI]: “Waspada!!!Penculikan […],0
 Maskapai Garuda Indonesia Berganti Nama Menjadi China Airlines,Hasil Periksa Fakta Ani Nur MR (Universitas Airlangga). Informasi Palsu. Belum ada informasi resmi bahwa Maskapai Garuda Indonesia akan berganti nama. Selengkapnya baca di PENJELASAN […],0
 Video Detik-Detik Gunung Semeru Bocor dari Tengah Gunung,"Hasil Periksa Fakta Luthfiyah OJ (UIN Raden Mas Said Surakarta). Hal tersebut tidak benar. Faktanya, Subkoordinator Mitigasi Gunung Api Wilayah Barat dari Pusat Vulakonologi Mitigasi […]",0
 Foto Herry Wirawan Mengenakan Jaket Banser,"Hasil SUNTINGAN. FAKTANYA, foto yang ASLI memuat foto dari Hasan Muchtar, Sekretaris GP Ansor Kota Bekasi. Selengkapnya di bagian PENJELASAN dan REFERENSI. KATEGORI: Konten yang […]",0
 Foto Mobil Wagub DKI Jakarta Ahmad Riza Patria Terperosok di Sumur Resapan,"hasil periksa fakta Rahmah a n (UIN Sunan Ampel Surabaya). Bukan mobil Wakil Gubernur DKI Jakarta. Faktanya, foto mobil tersebut adalah milik Ketua DPP PSI […]",0
 Foto “Santa Claus ikut salat berjamaah”,Foto EDITAN. Foto itu adalah hasil manipulasi terhadap foto asli yang sudah diunggah ke internet pada tahun 2012. Di foto asli yang memperlihatkan suasana salat […],0
 Jadwal Kemunculan Varian Omicron,Hasil Periksa Fakta Nadine Salsabila (Universitas Diponegoro) Hal tersebut tidak benar. Kemunculan varian Omicron ditemukan di Afrika pada bulan November tahun 2021 dan jadwal tersebut […],0
 Video “Banten Dilanda Hujan Angin Kencang”,Hasil Periksa Fakta Nadine Salsabila (Universitas Diponegoro) Hal tersebut tidak benar. Peristiwa yang ada di video tersebut merupakan angin puting beliung yang terjadi di Temanggung […],0
 Foto “Anak pembunuh pelaku pemerkosaan terhadap ibunya”,"Pria di foto yang dimuat di artikel berjudul “Pergoki Ibunya Yang Cacat “Diperk0sa” Tetangga Mabuk, Anak G0r0k Kep4la Pelaku Hingga Putus” itu adalah Sudirman, tersangka […]",0
 Akun Telegram BNI Sekuritas atau BIONIS,hasil periksa fakta Rahmah a n ( uin sunan Ampel Surabaya). Bukan akun Telegram resmi milik Bank Negara Indonesia. Akun resmi Telegram resmi Bank BNI […],0
 Video “Bawang Merah Impor dari Cina Berisi Narkoba”,"BUKAN terjadi di Indonesia. Kejadian di video itu terjadi di Arab Saudi, berdasarkan kesamaan logo seragam petugas yang ada di video itu dengan logo lama […]",0
 Video Ma’ruf Amin Mengucapkan Selamat Natal dengan Mengenakan Kostum Sinterklas,"Hasil Periksa Fakta Ani Nur MR (Universitas Airlangga). Video Editan. Dalam video aslinya Ma’ruf Amin mengucapkan Selamat Hari Natal dengan memakai baju berwarna hitam, sorban […]",0
 Foto “Pecahan Uang Kertas Rp200.000 Resmi Diedarkan Hari Ini”,BUKAN uang kertas. Benda yang ada di foto itu sebenarnya adalah voucher potongan harga untuk pembelian produk Polo Ralph Lauren Indonesia yang hanya berlaku pada […],0
 NU Cabang Nasrani Gelar Lomba Natal 2021,"Hasil Periksa Fakta Fathia IS. Informasi tersebut salah. Dilansir dari Jawa Pos, menanggapi poster yang beredar, Ketua Pengurus Besar Nahdlatul Ulama (PBNU), Robikin Emhas mengeluarkan […]",0
 Undangan Wawancara Kerja Diskominfo Jawa Barat,Hasil Periksa Fakta Khairunnisa Andini. Undangan wawancara palsu. Pihak Diskominfo Jawa Barat melalui situs resminya menegaskan bahwa pihaknya tidak pernah memungut biaya apapun dalam pelaksanaan […],0
 Pemerkosa 21 Santriwati Babak Belur dalam Rutan,"Hasil Periksa Fakta Fathia IS. Klaim tersebut salah. Faktanya , telah dikonfirmasi oleh Kepala Rutan Kelas 1A Kebon Waru Bandung membantah hal tersebut, kemudian foto […]",0
" Foto “masjid megah di dekat stadion Bayern Munchen, Allianz Arena”","Masjid di foto itu BUKAN masjid di dekat stadion Bayern Munchen, Allianz Arena. Masjid itu adalah Masjid Pusat Köln (Zentralmoschee Köln) yang dibangun organisasi muslim […]",0
 Gunung Welirang Jawa Timur Erupsi,Hasil Periksa Fakta Ani Nur MR Bukan Erupsi. Koordinator Badan Meteorologi Klimatologi dan Geofisika (BMKG) Jawa Timur Taufiq Hermawan menjelaskan bahwa kejadian langit merah disertai […],0
" Rencana Pencurian Kabel Optik di Area RSPAD Senen, Jakarta Pusat oleh 4 Oknum, 3 Diantaranya ialah Anggota Kepolisian","Hasil Periksa Fakta Novita Kusuma Wardhani (Institut Ilmu Sosial dan Ilmu Politik (IISIP) Jakarta). Informasi tersebut salah. Faktanya, Kasubag Humas Polres Metro Jakarta Pusat, AKP […]",0
 Dokter di Malaysia Meninggal Setelah Mendapatkan Vaksin Pfizer,"Hasil Periksa Fakta Fathia IS. Informasi tersebut salah. Faktanya, dilansir dari New Strait Times, Kementerian Kesehatan Malaysia menegaskan bahwa kematian Dr. Chai pada 17 November […]",0
 “Mobil Listrik Murah Wuling E200 Dijual di Indonesia”,Hasil Periksa Fakta Ani Nur MR Informasi Palsu. Mobil Wuling dari Cina akan mulai diproduksi dan dipasarkan di Indonesia mulai tahun 2022. Selengkapnya baca di […],0
 Undian Berhadiah Rp2 Juta dalam Rangka Ulang Tahun BRI yang Ke-130 Tahun,"Hasil Periksa Fakta Novita Kusuma Wardhani (Institut Ilmu Sosial dan Ilmu Politik (IISIP) Jakarta. Informasi tersebut salah. Faktanya, melalui akun Twitter resminya, pihak BRI mengimbau […]",0
 DKI Jakarta Anggarkan Proyek 80 Juta Per Sumur Resapan,Hasil Periksa Fakta Ani Nur MR Informasi Palsu. Kepala Dinas Sumber Daya Air Yusmada Faisal membantah bahwa anggaran sumur resapan di wilayah DKI Jakarta mencapai […],0
 Kungkang adalah Hewan yang Hampir Punah karena Ditumis,"Hasil Periksa Fakta Ani Nur MR Informasi Palsu. Hewan kungkang hampir punah dikarenakan deforestasi dan urbanisasi, bukan karena ditumis/dimasak. Dilansir dari Sloth Conservation, menurut International […]",0
 Game “Omicron” Buatan Bill Gates yang Rilis di Tahun 1999,"Hasil Periksa Fakta Khairunnisa Andini. Bukan game yang dibuat oleh Bill Gates. Judul game tersebut adalah “Omikron: The Nomad Soul”, bukan “Omicron”, dan merupakan hasil […]",0
 Link Kuesioner Hari Jadi JNE ke 31 Tahun,"Hasil Periksa Fakta Luthfiyah OJ (UIN Raden Mas Said Surakarta). Link tersebut tidak benar. Faktanya, pihak JNE telah menginformasikan melalui akun Instagram resmi bahwa hal […]",0
 Foto Pohon Natal di Masjid,"Hasil Periksa Fakta Renanda Dwina Putri (Anggota Komisariat MAFINDO Universitas Pendidikan Indonesia) Faktanya, foto pohon Natal itu bukan berada di masjid, melainkan di suatu aula […]",0
" Video Kejadian Angin Kencang yang Melanda Merak, Banten","Hasil Periksa Fakta Fathia IS. Informasi tersebut salah. Faktanya, hasil penelusuran yandex dan google image reverse menunjukkan video tersebut merupakan kejadian angin puting beliung di […]",0
 Lebih dari 2000 Gereja di Paris Diruntuhkan karena Banyak Jemaatnya Berpindah ke Ateis atau Islam,Hasil Periksa Fakta Ani Nur MR Informasi Palsu. Gereja the Saint-Jacques yang ada dalam video dirobohkan karena bangunan tua dan mudah runtuh serta membahayakan warga […],0
 Foto “Anak pembunuh pelaku pemerkosaan terhadap ibunya”,"Pria di foto yang dimuat di artikel berjudul “Pergoki Ibunya Yang Cacat “Diperk0sa” Tetangga Mabuk, Anak G0r0k Kep4la Pelaku Hingga Putus” itu adalah Sudirman, tersangka […]",0
 Judul Berita “Ilmuwan Pfizer Memperingatkan Vaksinasi Mingguan untuk virus Omicron Mungkin Diperlukan untuk Mencegah Lockdown”,"Hasil Periksa Fakta Ani Nur MR Informasi Palsu. Perusahaan farmasi Pfizer mengklarifikasi bahwa pihaknya tidak pernah mengeluarkan pernyataan tersebut. Selain itu, tangkapan layar judul berita […]",0
 Video Bukti Varian Omicron Hanya Dibuat-Buat,Hasil Periksa Fakta Khairunnisa Andini. Bukan video yang membuktikan bahwa varian Omicron hanya dibuat-buat. Video tersebut merupakan video di balik pembuatan video promosi fasilitas kesehatan […],0
 Video Warga Austria Menentang Lockdown,"Hasil Periksa Fakta Renanda Dwina Putri (Anggota Komisariat MAFINDO Universitas Pendidikan Indonesia) Faktanya, video tersebut adalah para penggemar klub sepak bola Borussia Mönchengladbach pada pertandingan […]",0
 Video Rekaman Kecelakaan Helikopter Jenderal Bipin Rawat India,"Hasil Periksa Fakta Fathia IS. Infomasi tesebut salah. Faktanya, video dalam unggahan tersebut bukan video kecelakaan helikopter yang ditumpangi Staf Pertahanan India, Jenderal Bipin Rawat. […]",0
 Bill Gates Pembuat Virus Covid-19,"Hasil Periksa Fakta Ani Nur MR Informasi Palsu. Bill Gates membantah bahwa Ia menciptakan virus Covid-19, sementara WHO sendiri masih dalam proses menyelidiki asal usulnya. […]",0
 Akun TikTok Inul Daratista Mengadakan Give Away,Hasil Periksa Fakta Khairunnisa Andini. Bukan akun TikTok resmi milik Inul Daratista. Inul melalui akun Instagram resminya menegaskan bahwa akun tersebut adalah akun palsu yang […],0
 Video Pantai Merak Surut pada 6 Desember 2021,"Hasil Periksa Fakta Renanda Dwina Putri (Anggota Komisariat MAFINDO Universitas Pendidikan Indonesia) Faktanya, peristiwa surutnya air laut di Pantai Merak terjadi pada Minggu (5/12) dini […]",0
 Video “viralkan penculik anak bkan hoax tapi nyata”,"Pria dalam video bukan penculik anak, melainkan ayah dari si anak. Pria tersebut memiliki gangguan kejiwaan, bukan berniat untuk menculik si anak. ===== Kategori: Konteks […]",0
 Video “Lindungi dan selamatkan mereka yang sedang menjaga keutuhan negeri ini…”,"Hasil Periksa Fakta Renanda Dwina Putri (Anggota Komisariat MAFINDO Universitas Pendidikan Indonesia) Faktanya, video tersebut tidak terekam saat melawan OPM. Video itu adalah rekaman markas […]",0
 Benarkah Guinness World Record Menobatkan Model Asal Sudan sebagai “The Queen of Darkness”?,hasil periksa fakta Rahmah a n (Uin Sunan Ampel Surabaya). Narasi dalam gambar adalah salah. Faktanya Guinness World Records tidak pernah menetapkan Model Sudan sebagai […],0
 Surat Edaran Gubernur Jelang HUT NTB,"hasil periksa fakta Rahmah a n (UIN Sunan Ampel Surabaya) Informasi tersebut salah. Faktanya Kepala Dinas Kominfotik NTB, Dr. Najammudin Amy melalui website resmi ntbprov.go.id […]",0
" Eks Danjen Kopassus Sebut Buzzer Anies Makhluk Pemakan Bangkai, Tukang Fitnah dan Adu Domba","Judul yang salah. Faktanya, mantan Danjen Kopassus tidak ada menyebut nama Anies, hanya buzzer secara umum tanpa menyebut nama yang spesifik.  [KATEGORI]: KONTEKS YANG […]",0
